tour,slam,era,matches,matches_lt_1,pct_matches_lt_1,matches_lt_5,pct_matches_lt_5,matches_lt_10,pct_matches_lt_10,matches_lt_20,pct_matches_lt_20,matches_missing_id
ATP,Australian Open,1988-1999,1524,33,2.1653543307086616,117,7.677165354330708,209,13.713910761154855,333,21.8503937007874,0
ATP,Australian Open,2000-2009,1270,14,1.1023622047244095,77,6.062992125984252,151,11.88976377952756,249,19.606299212598426,0
ATP,Australian Open,2010-2019,1270,7,0.5511811023622047,78,6.141732283464567,127,10.0,210,16.53543307086614,0
ATP,Australian Open,2020-2025,762,10,1.3123359580052494,51,6.692913385826771,91,11.94225721784777,155,20.341207349081365,0
ATP,Roland Garros,1988-1999,1524,22,1.4435695538057742,102,6.692913385826771,156,10.236220472440944,258,16.929133858267715,0
ATP,Roland Garros,2000-2009,1270,25,1.968503937007874,87,6.850393700787402,150,11.811023622047244,250,19.68503937007874,0
ATP,Roland Garros,2010-2019,1270,21,1.6535433070866141,67,5.275590551181103,109,8.582677165354331,212,16.69291338582677,0
ATP,Roland Garros,2020-2025,762,11,1.4435695538057742,52,6.824146981627297,94,12.335958005249344,152,19.94750656167979,0
ATP,US Open,1988-1999,1524,17,1.1154855643044619,74,4.8556430446194225,150,9.84251968503937,245,16.076115485564305,0
ATP,US Open,2000-2009,1270,19,1.4960629921259843,58,4.566929133858268,107,8.4251968503937,222,17.480314960629922,0
ATP,US Open,2010-2019,1270,21,1.6535433070866141,65,5.118110236220472,110,8.661417322834646,196,15.433070866141732,0
ATP,US Open,2020-2025,762,14,1.837270341207349,43,5.6430446194225725,87,11.417322834645669,166,21.78477690288714,0
ATP,Wimbledon,1988-1999,1524,27,1.7716535433070866,87,5.708661417322834,155,10.170603674540683,269,17.650918635170605,0
ATP,Wimbledon,2000-2009,1270,14,1.1023622047244095,62,4.881889763779528,122,9.606299212598426,223,17.559055118110237,0
ATP,Wimbledon,2010-2019,1270,13,1.0236220472440944,53,4.173228346456693,88,6.929133858267717,170,13.385826771653543,0
ATP,Wimbledon,2020-2025,635,6,0.9448818897637795,39,6.141732283464567,70,11.023622047244094,119,18.74015748031496,0
WTA,Australian Open,1988-1999,1524,24,1.5748031496062993,109,7.152230971128609,214,14.041994750656167,363,23.818897637795274,0
WTA,Australian Open,2000-2009,1270,7,0.5511811023622047,51,4.015748031496063,113,8.89763779527559,229,18.031496062992126,0
WTA,Australian Open,2010-2019,1270,16,1.2598425196850394,65,5.118110236220472,124,9.763779527559056,219,17.244094488188978,0
WTA,Australian Open,2020-2025,762,5,0.6561679790026247,28,3.674540682414698,58,7.611548556430447,117,15.354330708661417,0
WTA,Roland Garros,1988-1999,1524,27,1.7716535433070866,79,5.183727034120735,137,8.989501312335959,236,15.485564304461942,0
WTA,Roland Garros,2000-2009,1270,19,1.4960629921259843,73,5.748031496062992,108,8.503937007874017,223,17.559055118110237,0
WTA,Roland Garros,2010-2019,1270,14,1.1023622047244095,64,5.039370078740157,100,7.874015748031496,182,14.330708661417322,0
WTA,Roland Garros,2020-2025,762,12,1.5748031496062993,39,5.118110236220472,74,9.711286089238845,129,16.929133858267715,0
WTA,US Open,1988-1999,1524,22,1.4435695538057742,69,4.52755905511811,117,7.677165354330708,212,13.910761154855644,0
WTA,US Open,2000-2009,1270,34,2.677165354330709,95,7.480314960629921,137,10.78740157480315,230,18.11023622047244,0
WTA,US Open,2010-2019,1270,22,1.7322834645669292,64,5.039370078740157,106,8.346456692913385,207,16.299212598425196,0
WTA,US Open,2020-2025,762,14,1.837270341207349,34,4.4619422572178475,73,9.58005249343832,125,16.404199475065617,0
WTA,Wimbledon,1988-1999,1524,14,0.9186351706036745,49,3.215223097112861,96,6.299212598425197,195,12.795275590551181,0
WTA,Wimbledon,2000-2009,1270,7,0.5511811023622047,42,3.3070866141732282,92,7.244094488188976,173,13.622047244094489,0
WTA,Wimbledon,2010-2019,1270,6,0.47244094488188976,45,3.543307086614173,86,6.771653543307087,158,12.440944881889763,0
WTA,Wimbledon,2020-2025,635,2,0.31496062992125984,28,4.409448818897638,62,9.763779527559056,103,16.22047244094488,0
